subcategory_id,name,category_id
"1000","Blog / Magazine","1001"
"1001","BuddyPress","1001"
"1002","Corporate","1001"
"1003","Creative","1001"
"1004","Directory & Listings","1001"
"1005","eCommerce","1001"
"1006","Education","1001"
"1007","Entertaiment","1001"
"1008","Mobile","1001"
"1009","Nonprofit","1001"
"1010","Real Estate","1001"
"1011","Retail","1001"
"1012","Technology","1001"
"1013","Wedding","1001"
"1014","Miscellaneous","1001"
"1015","WordPress Plugins","1001"
"1016","Concrete5","1002"
"1017","Drupal","1002"
"1018","Joomla","1002"
"1019","MODX Themes","1002"
"1020","Moodle","1002"
"1021","Mura","1002"
"1022","Miscellaneous","1002"
"1023","Cart66","1003"
"1024","CS-Cart","1003"
"1025","Drupal Commerce","1003"
"1026","Easy Digital Downloads","1003"
"1027","Ecwid","1003"
"1028","Jigoshop","1003"
"1029","Magneto","1003"
"1030","OpenCart","1003"
"1031","osCommerce","1003"
"1032","PrestaShop","1003"
"1033","Shopify","1003"
"1034","Ubercart","1003"
"1035","VirtueMart","1003"
"1036","WooCommerce","1003"
"1037","WP e-Commerce","1003"
"1038","Zen Cart","1003"
"1039","Miscellaneous","1003"
"1040","Humblr","1004"
"1041","Blogger","1004"
"1042","Ghost Themes","1004"
"1043","Email Templates","1005"
"1044","Instapage","1005"
"1045","Landing Pages","1005"
"1046","Pagewiz","1005"
"1047","Unbounce Landing Pages","1005"
"1048","PhpBB","1006"
"1049","Vanilla","1006"
"1050","vBulletin","1006"
"1051","Miscellaneous","1006"
"1052","Creative","1007"
"1053","Corporate","1007"
"1054","Retail","1007"
"1055","Technology","1007"
"1056","Nonprofit","1007"
"1057","Entertaiment","1007"
"1058","Personal","1007"
"1059","Miscellaneous","1007"
"1060","Corporate","1008"
"1061","Creative","1008"
"1062","eCommerce","1008"
"1063","Landing","1008"
"1064","Personal","1008"
"1065","Miscellaneous","1008"
"1066","Sketch Templates","1009"
"1067","TypeEngine Themes","1010"
"1068","Jekyll","1011"
